********************************************************************************
product = Open Liberty 20.0.0.12 (wlp-1.0.47.cl201220201111-0736)
wlp.install.dir = C:/werkplaats/Jax-RS/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk1.8.0_261\jre
java.version = 1.8.0_261
java.runtime = Java(TM) SE Runtime Environment (1.8.0_261-b12)
os = Windows 8.1 (6.3; amd64) (nl_NL)
process = 2756@NSI-PF00JV9Q
********************************************************************************
[30-11-20 16:04:17:029 CET] 00000021 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\werkplaats\Jax-RS\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[30-11-20 16:04:26:456 CET] 00000024 .ibm.ws.jaxrs.2.0.common:1.0.47.cl201220201111-0736(id=116)] I Setting the server's publish address to be /resources/
[30-11-20 16:04:27:137 CET] 00000024 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [Jax-RS-1.0-SNAPSHOT] [/Jax-RS-1.0-SNAPSHOT] [org.example.madjid.resource.JaxrsConfiguration]: Initialization successful.
[30-11-20 16:13:45:954 CET] 00000024 com.ibm.ws.webcontainer.extension                            W SRVE0190E: File not found: /start
[30-11-20 16:16:09:133 CET] 00000032 com.ibm.ws.config.xml.internal.ConfigRefresher               A CWWKG0016I: Starting server configuration update.
[30-11-20 16:16:09:287 CET] 00000034 com.ibm.ws.library.internal.SharedLibraryImpl                W CWWKL0012W: The library [library[MySQLLib]] specifies a file with name [eigendirectory/mysql/mysql-connector-java/8.0.22/mysql-connector-java-8.0.22.jar]. This file either does not exist or is incorrectly specified.
[30-11-20 16:16:09:308 CET] 00000023 com.ibm.ws.config.xml.internal.ConfigRefresher               A CWWKG0017I: The server configuration was successfully updated in 0,187 seconds.
[30-11-20 16:16:11:156 CET] 00000021 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Web application removed (default_host): http://localhost:9080/Jax-RS-1.0-SNAPSHOT/
[30-11-20 16:16:11:172 CET] 00000021 com.ibm.ws.webcontainer.servlet                              I SRVE0253I: [Jax-RS-1.0-SNAPSHOT] [/Jax-RS-1.0-SNAPSHOT] [org.example.madjid.resource.JaxrsConfiguration]: Destroy successful.
[30-11-20 16:16:11:268 CET] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: The application Jax-RS-1.0-SNAPSHOT has stopped successfully.
[30-11-20 16:16:11:316 CET] 00000021 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application Jax-RS-1.0-SNAPSHOT.
